token_tikuna,token_oral,token_pos,token_spa,dic_entry,example,example_tikuna,example_spanish
abióũpata ,(a³bi³o²ũ⁵pa²ta³),s.m., hangar ,abióũpata (a³bi³o²ũ⁵pa²ta³) s.m. hangar (de avión) Yima abióũpatawa  nixĩ i nüxnanadauxü̃ ya abióũ i ngẽma  norü dauruxü̃. El hangar es donde el guardián cuida el avión.,Yima abióũpatawa  nixĩ i nüxnanadauxü̃ ya abióũ i ngẽma  norü dauruxü̃. El hangar es donde el guardián cuida el avión.,Yima abióũpatawa  nixĩ i nüxnanadauxü̃ ya abióũ i ngẽma  norü dauruxü̃.,El hangar es donde el guardián cuida el avión.
abióũpexatü ,(a³bi³o²ũ⁵pex̱ ⁵a¹tü³),s.m., ala ,abióũpexatü (a³bi³o²ũ⁵pex̱ ⁵a¹tü³) s.m. ala (de avión) Ngẽma  abióũpexatü rü nüxü̃ narüngü̃xẽẽ nax tama  yanguxü̃cax̱ . El ala del avión lo sostiene  para que no caiga.,Ngẽma  abióũpexatü rü nüxü̃ narüngü̃xẽẽ nax tama  yanguxü̃cax̱ . El ala del avión lo sostiene  para que no caiga.,Ngẽma  abióũpexatü rü nüxü̃ narüngü̃xẽẽ nax tama  yanguxü̃cax̱ .,El ala del avión lo sostiene  para que no caiga.
abióũxü̃ne ,(a³bi³o²ũx⁵ü³ne⁵),s.n., fuselaje ,abióũxü̃ne (a³bi³o²ũx⁵ü³ne⁵) s.n. fuselaje (de avión) Marü nanachaxu ya  yima abióũü̃ne.  Ya han pintado el fuselaje  de ese avión.,Marü nanachaxu ya  yima abióũü̃ne.  Ya han pintado el fuselaje  de ese avión.,Marü nanachaxu ya  yima abióũü̃ne.,Ya han pintado el fuselaje  de ese avión.
acáchia ,(a³ca²chi⁵a⁵),s.m., acacia  ,acáchia (a³ca²chi⁵a⁵) s.m. acacia  Ngẽma acáchia rü wüxi i nai i mexü̃ nawa i Parestína. La acacia es un  buen árbol de Palestina.,Ngẽma acáchia rü wüxi i nai i mexü̃ nawa i Parestína. La acacia es un  buen árbol de Palestina.,Ngẽma acáchia rü wüxi i nai i mexü̃ nawa i Parestína.,La acacia es un  buen árbol de Palestina.
acáchianaxcax ,(a³ca²chi⁵a⁵nax²ca̱x⁵),adj., hecho ,acáchianaxcax (a³ca²chi⁵a⁵nax²ca̱x⁵) adj. hecho (de acacia)  Acáchianaxcax nixĩ ga norü naixmenaxã. Su bastón fue hecho de acacia.,Acáchianaxcax nixĩ ga norü naixmenaxã. Su bastón fue hecho de acacia.,Acáchianaxcax nixĩ ga norü naixmenaxã.,Su bastón fue hecho de acacia.
ãcha ,(ã²cha⁵),s.n., lo que hace daño,ãcha (ã²cha⁵) s.n. lo que hace daño,,,
ãcharaanexü̃ ,(ã³cha⁵ra⁵a⁵nex³ü²),adj., barroso ,ãcharaanexü̃ (ã³cha⁵ra⁵a⁵nex³ü²) adj. barroso Ngẽma nama rü wüxi i  ãcharaanexü̃ nixĩ ega napuxgu. Ese  camino es barroso cuando llueve.,Ngẽma nama rü wüxi i  ãcharaanexü̃ nixĩ ega napuxgu. Ese  camino es barroso cuando llueve.,Ngẽma nama rü wüxi i  ãcharaanexü̃ nixĩ ega napuxgu.,Ese  camino es barroso cuando llueve.
ãcharaxü̃ ,(ã³cha⁵rax³ü²),s.n., barro ,ãcharaxü̃ (ã³cha⁵rax³ü²) s.n. barro Nagu  tayi i ngẽma ãcharaxü̃. Nos caemos en el barro.,Nagu  tayi i ngẽma ãcharaxü̃. Nos caemos en el barro.,Nagu  tayi i ngẽma ãcharaxü̃.,Nos caemos en el barro.
ãchataxü̃ ,(ã³cha¹tax³ü²),s.n., tenedor,ãchataxü̃ (ã³cha¹tax³ü²) s.n. tenedor,,,
ãchicaanexü̃ ,(ã³chi¹ca⁵a⁵nex³ü²),adj.," espacioso, grande ","ãchicaanexü̃ (ã³chi¹ca⁵a⁵nex³ü²) adj. espacioso, grande (terreno)  Ãchicaanexüwa nangexma ya chopata. Mi casa está ubicada en un terreno  grande.",Mi casa está ubicada en un terreno  grande.,,
ãchicune ,(ã³chi¹cu⁴ne⁵),adj., que tiene ruedas,ãchicune (ã³chi¹cu⁴ne⁵) adj. que tiene ruedasAbióũ i dauxchitagu nguxü̃ne  rü wüxi ya abióũ ya ãchicune nixĩ. El avión que aterriza en el campo  es de ruedas.,Abióũ i dauxchitagu nguxü̃ne  rü wüxi ya abióũ ya ãchicune nixĩ. El avión que aterriza en el campo  es de ruedas.,Abióũ i dauxchitagu nguxü̃ne  rü wüxi ya abióũ ya ãchicune nixĩ.,El avión que aterriza en el campo  es de ruedas.
ãchicuxü̃ ,(ã³chi¹cux⁴ü³),adj., que tiene una  rueda ,ãchicuxü̃ (ã³chi¹cux⁴ü³) adj. que tiene una  rueda Caretíya rü ãchicuxü̃ nixĩ i napexewaxicatama. Una carretilla  solamente tiene una rueda delantera.,Caretíya rü ãchicuxü̃ nixĩ i napexewaxicatama. Una carretilla  solamente tiene una rueda delantera.,Caretíya rü ãchicuxü̃ nixĩ i napexewaxicatama.,Una carretilla  solamente tiene una rueda delantera.
ãchipáxü̃ ,(ã³chi⁵pax¹ü̃²),adj., escamoso,ãchipáxü̃ (ã³chi⁵pax¹ü̃²) adj. escamosoDexchi rü wüxi i choxni i ãchipáxü̃  nixĩ. El paiche es un pez escamoso.,Dexchi rü wüxi i choxni i ãchipáxü̃  nixĩ. El paiche es un pez escamoso.,Dexchi rü wüxi i choxni i ãchipáxü̃  nixĩ.,El paiche es un pez escamoso.
ãchiü̃anexü̃ ,(ã³chi¹ü̃⁴a⁵nex³ü²),adj., lleno ,ãchiü̃anexü̃ (ã³chi¹ü̃⁴a⁵nex³ü²) adj. lleno (de charcos) Ngẽxguma napuxgu  rü nama iãchixü̃anexü̃ nixĩ. En  temporada de lluvia el camino está lleno de  charcos.,Ngẽxguma napuxgu  rü nama iãchixü̃anexü̃ nixĩ. En  temporada de lluvia el camino está lleno de  charcos.,Ngẽxguma napuxgu  rü nama iãchixü̃anexü̃ nixĩ.,En  temporada de lluvia el camino está lleno de  charcos.
ãchiüxü̃ ,(ã³chi¹üx³ü²),adj., líquido ,ãchiüxü̃ (ã³chi¹üx³ü²) adj. líquido Gauxü̃ rü  ãchiüxü̃ nayanguxuchi ega nanaianegu. El hielo se hace líquido  cuando hace calor.,Gauxü̃ rü  ãchiüxü̃ nayanguxuchi ega nanaianegu. El hielo se hace líquido  cuando hace calor.,Gauxü̃ rü  ãchiüxü̃ nayanguxuchi ega nanaianegu.,El hielo se hace líquido  cuando hace calor.
achu ,(a³chu⁵),s.n.," acero, fierro","achu (a³chu⁵) s.n. acero, fierro",,,
achúcara ,(a³chu²ca⁵ra⁵),s.n., azúcar ,achúcara (a³chu²ca⁵ra⁵) s.n. azúcar Achúcara  rü wüxi i maixcuraxü̃ nixĩ. El azúcar es una cosa dulce.,Achúcara  rü wüxi i maixcuraxü̃ nixĩ. El azúcar es una cosa dulce.,Achúcara  rü wüxi i maixcuraxü̃ nixĩ.,El azúcar es una cosa dulce.
achumü ,(a³chu⁵mü⁵),s.n., hierro ,achumü (a³chu⁵mü⁵) s.n. hierro (mineral)Achumü rü waixümütüü̃wa nüxü   tayangau. Encontramos hierro mineral dentro de la tierra.,Achumü rü waixümütüü̃wa nüxü   tayangau. Encontramos hierro mineral dentro de la tierra.,Achumü rü waixümütüü̃wa nüxü   tayangau.,Encontramos hierro mineral dentro de la tierra.
achunaxcax ,(a³chu⁵nax²ca̱x⁵),adj., hecho ,"achunaxcax (a³chu⁵nax²ca̱x⁵) adj. hecho (de acero), acerado Chorü tara  rü achunaxcax nixĩ. Mi machete está hecho de acero.",Chorü tara  rü achunaxcax nixĩ. Mi machete está hecho de acero.,Chorü tara  rü achunaxcax nixĩ.,Mi machete está hecho de acero.
ãcunaxü̃ ,(ã³cu¹nax³ü²),adj.," de cuerda, que tiene cuerdas ","ãcunaxü̃ (ã³cu¹nax³ü²) adj. de cuerda, que tiene cuerdas Yima guitara  rü wüxi yapaxetaruxü̃ i ãcunaxü̃ nixĩ.  La guitarra es un instrumento que tiene cuerdas.",Yima guitara  rü wüxi yapaxetaruxü̃ i ãcunaxü̃ nixĩ.  La guitarra es un instrumento que tiene cuerdas.,Yima guitara  rü wüxi yapaxetaruxü̃ i ãcunaxü̃ nixĩ.,La guitarra es un instrumento que tiene cuerdas.
-acü ,(-a³cü⁵),suf. sust.," pequeño, cría ","-acü (-a³cü⁵) suf. sust. pequeño, cría Wüxi i carneruxacü rü paxa  inarütaxu. La cría de un carnero se pierde rápido.",Wüxi i carneruxacü rü paxa  inarütaxu. La cría de un carnero se pierde rápido.,Wüxi i carneruxacü rü paxa  inarütaxu.,La cría de un carnero se pierde rápido.
-ãcü ,(-ã⁵cü⁴),suf. verb., así ,-ãcü (-ã⁵cü⁴) suf. verb. así Ngẽma chanamuxü̃ãcü nanaxü i ngẽma  puracü. Hizo el trabajo así como le ordené.,Ngẽma chanamuxü̃ãcü nanaxü i ngẽma  puracü. Hizo el trabajo así como le ordené.,Ngẽma chanamuxü̃ãcü nanaxü i ngẽma  puracü.,Hizo el trabajo así como le ordené.
-ãcüma ,(-ã⁵cü⁴ma³),suf. verb., ,-ãcüma (-ã⁵cü⁴ma³) suf. verb. Indica acción continua. Nawiyaeãcüma  ínixĩ ga  duü̃xü̃gü. Las personas regresaron cantando.,Indica acción continua. Nawiyaeãcüma  ínixĩ ga  duü̃xü̃gü. Las personas regresaron cantando.,Indica acción continua. Nawiyaeãcüma  ínixĩ ga  duü̃xü̃gü.,Las personas regresaron cantando.
aé ,(a³e¹),s.n., isango ,aé (a³e¹) s.n. isango (especie de arácnido pequeño que da comezón),,,
aégacü ,(ã³e¹ga³cü³),adj.," llamado, de nombre ","aégacü (ã³e¹ga³cü³) adj. llamado, de nombre Pedru ga Nutagu ãégacü rü  Ngechuchumücü nixĩ. Pedro, llamado Roca, fue compañero de Jesús.  Var. ãégaxe, ãégaxü̃","Pedru ga Nutagu ãégacü rü  Ngechuchumücü nixĩ. Pedro, llamado Roca, fue compañero de Jesús.  Var.","Pedru ga Nutagu ãégacü rü  Ngechuchumücü nixĩ. Pedro, llamado Roca, fue compañero de Jesús.",Var.
aẽmacü ,(ãẽ³ma⁵cü³),s.m., relámpago ,aẽmacü (ãẽ³ma⁵cü³) s.m. relámpago Yimá ãẽmacü rü poraãcü naxãũcüma ega  tüxna nangaicamagu. El relámpago es muy peligroso cuando está cerca.,Yimá ãẽmacü rü poraãcü naxãũcüma ega  tüxna nangaicamagu. El relámpago es muy peligroso cuando está cerca.,Yimá ãẽmacü rü poraãcü naxãũcüma ega  tüxna nangaicamagu.,El relámpago es muy peligroso cuando está cerca.
ãéü̃xü̃ ,(ã³e¹ü̃x³ü²),adj., combinado,ãéü̃xü̃ (ã³e¹ü̃x³ü²) adj. combinado,,,
ãẽxgacü ,(ãẽx̱ ³⁵ga³cü³),s.n.," autoridad, jefe, oficial ","ãẽxgacü (ãẽx̱ ³⁵ga³cü³) s.n. autoridad, jefe, oficial Nüma ya ãẽxgacü  nixĩ i  guxãétüwa naxüxü̃ i tórü ĩanewa. El jefe es la máxima autoridad de la  comunidad.  Véase capitáü",Nüma ya ãẽxgacü  nixĩ i  guxãétüwa naxüxü̃ i tórü ĩanewa. El jefe es la máxima autoridad de la  comunidad.,Nüma ya ãẽxgacü  nixĩ i  guxãétüwa naxüxü̃ i tórü ĩanewa.,El jefe es la máxima autoridad de la  comunidad.
aexü̃ ,(a⁴ex⁵ü⁴),adj.," cantor, que canta  ","aexü̃ (a⁴ex⁵ü⁴) adj. cantor, que canta  (ave) Ngẽma  ngitirigü nixĩ i werigü i  ẽxüwa aexü. Los Víctor-Díaz son aves que cantan en la mañanita.",Ngẽma  ngitirigü nixĩ i werigü i  ẽxüwa aexü. Los Víctor-Díaz son aves que cantan en la mañanita.,Ngẽma  ngitirigü nixĩ i werigü i  ẽxüwa aexü.,Los Víctor-Díaz son aves que cantan en la mañanita.
ãgaxü̃ ,(ã³gax³ü̃³),adj.," sonoro, que suena","ãgaxü̃ (ã³gax³ü̃³) adj. sonoro, que suenaNgẽma nachicu i ãgaxü̃ rü nangearü   chíxü̃ãx̱ . Esa rueda que suena no tiene aceite.",Ngẽma nachicu i ãgaxü̃ rü nangearü   chíxü̃ãx̱ . Esa rueda que suena no tiene aceite.,Ngẽma nachicu i ãgaxü̃ rü nangearü   chíxü̃ãx̱ .,Esa rueda que suena no tiene aceite.
ãgümücü ,(ã³gü²mü⁵cü³),adj., cuatro,ãgümücü (ã³gü²mü⁵cü³) adj. cuatro,,,
ãgüxü̃ ,(ã³gü²xü²),adj., resinoso ,ãgüxü̃ (ã³gü²xü²) adj. resinoso Ngẽma chiriga  rü wüxi i nai i ãgüxü̃ nixĩ. La shiringa es un árbol resinoso.,Ngẽma chiriga  rü wüxi i nai i ãgüxü̃ nixĩ. La shiringa es un árbol resinoso.,Ngẽma chiriga  rü wüxi i nai i ãgüxü̃ nixĩ.,La shiringa es un árbol resinoso.
ai ,(ai³⁵),s.n., ,"ai (ai³⁵) s.n. Indica cualquier tipo de tigre, jaguar o leopardo.  Naxãũcüma i ngẽma ai  erü tüxü̃ nangõ̱ x. El tigre es peligroso porque muerde.","Indica cualquier tipo de tigre, jaguar o leopardo.  Naxãũcüma i ngẽma ai  erü tüxü̃ nangõ̱ x. El tigre es peligroso porque muerde.","Indica cualquier tipo de tigre, jaguar o leopardo.  Naxãũcüma i ngẽma ai  erü tüxü̃ nangõ̱ x.",El tigre es peligroso porque muerde.
ãĩnecüxü ,(ãĩ⁵ne²cüx³ü⁴),s.n.," gemido, quejido","ãĩnecüxü (ãĩ⁵ne²cüx³ü⁴) s.n. gemido, quejidoYexguma nüxü̃ taxĩnüegu ga  norü ãĩnecüxü ga airu rü ítachoxü̃  nax ítayadaugüxü̃cax̱ . Cuando oímos los gemidos del perro, salimos a  ver qué pasaba.","Yexguma nüxü̃ taxĩnüegu ga  norü ãĩnecüxü ga airu rü ítachoxü̃  nax ítayadaugüxü̃cax̱ . Cuando oímos los gemidos del perro, salimos a  ver qué pasaba.",Yexguma nüxü̃ taxĩnüegu ga  norü ãĩnecüxü ga airu rü ítachoxü̃  nax ítayadaugüxü̃cax̱ .,"Cuando oímos los gemidos del perro, salimos a  ver qué pasaba."
airu ,(ai³⁵ru¹),s.n., perro ,airu (ai³⁵ru¹) s.n. perro Airu rü ningúxnecüxü  ega naxãẽü̃gu. El perro ladra cuando encuentra un animal.,Airu rü ningúxnecüxü  ega naxãẽü̃gu. El perro ladra cuando encuentra un animal.,Airu rü ningúxnecüxü  ega naxãẽü̃gu.,El perro ladra cuando encuentra un animal.
aita naxü ,(ai¹ta⁵ nax²ü⁴),v.t.," gritar, chillar, aullar ¡","aita naxü (ai¹ta⁵ nax²ü⁴) v.t. gritar, chillar, aullar ¡Yexera aita  naxü nax cuxü̃ naxĩnüexü̃cax̱ ! ¡Grítales más  fuerte para que te oigan! Antón. waita naxü",Yexera aita  naxü nax cuxü̃ naxĩnüexü̃cax̱ ! ¡Grítales más  fuerte para que te oigan! Antón.,Yexera aita  naxü nax cuxü̃ naxĩnüexü̃cax̱ ! ¡Grítales más  fuerte para que te oigan!,Antón.
aixcüma ,(aix⁴cü²ma²),"['adv.', 'adj.']","[' de veras,  verdaderamente ', ' verdadero, genuino,auténtico ']","aixcüma (aix⁴cü²ma²) 1. adv. de veras,  verdaderamente Aixcüma tama nüxü̃ chacuax. Verdaderamente no sé.2.  adj. verdadero, genuino,auténtico Ñaapopera rü wüxi i popera i aixcüma ixĩxü̃ nixĩ erü nüma ya  ãẽx̱ gacü nagu nügü nawü̃́éga. Este documento es auténtico porque el jefe  lo ha firmado.","Aixcüma tama nüxü̃ chacuax. Verdaderamente no sé.2.  adj. verdadero, genuino,auténtico Ñaapopera rü wüxi i popera i aixcüma ixĩxü̃ nixĩ erü nüma ya  ãẽx̱ gacü nagu nügü nawü̃́éga. Este documento es auténtico porque el jefe  lo ha firmado.","Aixcüma tama nüxü̃ chacuax. Verdaderamente no sé.2.  adj. verdadero, genuino,auténtico Ñaapopera rü wüxi i popera i aixcüma ixĩxü̃ nixĩ erü nüma ya  ãẽx̱ gacü nagu nügü nawü̃́éga.",Este documento es auténtico porque el jefe  lo ha firmado.
aixcüma ixixü̃ ,(aix⁴cü²ma² ix³ix⁴ü̃),adj.,"  verdadero, legítimo","aixcüma ixixü̃ (aix⁴cü²ma² ix³ix⁴ü̃) adj.  verdadero, legítimo",,,
aixcümaxü̃ nixu ,(aix⁴cü²max²ü̃³ ni²xu³),v.t.,"['decir ', 'desmentir, contradecir']","aixcümaxü̃ nixu (aix⁴cü²max²ü̃³ ni²xu³) v.t. 1.  decir (la verdad) Yimá rü aixcümaxü̃ nixu erü taguma choxü̃ nawomüxẽẽ.    Él dice la verdad porque  nunca me engaña. 2.  desmentir, contradecir",Yimá rü aixcümaxü̃ nixu erü taguma choxü̃ nawomüxẽẽ.    Él dice la verdad porque  nunca me engaña. 2.,Yimá rü aixcümaxü̃ nixu erü taguma choxü̃ nawomüxẽẽ.,Él dice la verdad porque  nunca me engaña. 2.
aixcümaxü̃chi ,(aix⁴cü²max²ü¹chi⁵),"['adj.', 'adv.']","[' genuino, verdadero ', ' verdaderamente, de veras']","aixcümaxü̃chi (aix⁴cü²max²ü¹chi⁵) 1.  adj. genuino, verdadero Ñaa ore rü  wüxi i ore i aixcümaxü̃chi ixĩxü̃ nixĩ. Ésta es una historia verdadera. 2.  adv. verdaderamente, de verasNgẽma yatü rü aixcümaxü̃chi namecüma.  Ese hombre es verdaderamente bueno.",Ngẽma yatü rü aixcümaxü̃chi namecüma.  Ese hombre es verdaderamente bueno.,Ngẽma yatü rü aixcümaxü̃chi namecüma.,Ese hombre es verdaderamente bueno.
aixepe ,(aix⁵e³pe⁴),adv.," por dentro, interiormente ","aixepe (aix⁵e³pe⁴) adv. por dentro, interiormente Yima ĩpata rü  düxetüwa name natürü norü aixepe rü naxãũãchi. Esa casa está bien por  fuera, pero por dentro está sucia.","Yima ĩpata rü  düxetüwa name natürü norü aixepe rü naxãũãchi. Esa casa está bien por  fuera, pero por dentro está sucia.",Yima ĩpata rü  düxetüwa name natürü norü aixepe rü naxãũãchi.,"Esa casa está bien por  fuera, pero por dentro está sucia."
aixepegu nanacu̱ x ,(aix⁵e³pe⁴gu⁴ na²na³cu̱ x⁵),v.t.," meter, sumergir,  echar adentro ","aixepegu nanacu̱ x (aix⁵e³pe⁴gu⁴ na²na³cu̱ x⁵) v.t. meter, sumergir,  echar adentro (profundamente en agua)  Choxnicax nadau rü aixepegu nanacu̱ x ya norü chuxchi. Buscando peces,  echa su flechaadentrodelagua.","Choxnicax nadau rü aixepegu nanacu̱ x ya norü chuxchi. Buscando peces,  echa su flechaadentrodelagua.",Choxnicax nadau rü aixepegu nanacu̱ x ya norü chuxchi.,"Buscando peces,  echa su flechaadentrodelagua."
aixepena ,(aix⁵e³pe¹na⁵),s.n., interior ,aixepena (aix⁵e³pe¹na⁵) s.n. interior Chorü baúarü aixepena nangexma i  chauxchiru. En el interior de mi baúl está mi ropa.,Chorü baúarü aixepena nangexma i  chauxchiru. En el interior de mi baúl está mi ropa.,Chorü baúarü aixepena nangexma i  chauxchiru.,En el interior de mi baúl está mi ropa.
aixepewa ,(aix⁵e³pe⁴wa¹),adv.," adentro, dentro ","aixepewa (aix⁵e³pe⁴wa¹) adv. adentro, dentro Norü chexearü aixepewa  nüxü nangu̱ x. Le duele adentro de su herida.",Norü chexearü aixepewa  nüxü nangu̱ x. Le duele adentro de su herida.,Norü chexearü aixepewa  nüxü nangu̱ x.,Le duele adentro de su herida.
ai̱ xrüguma ,(ai̱ x̱ ⁵rü²gu⁴ma²),adv.," habitualmente, normalmente ","ai̱ xrüguma (ai̱ x̱ ⁵rü²gu⁴ma²) adv. habitualmente, normalmente Nüma rü  ai̱ xrüguma mea napuracü. Él habitualmente trabaja bien.",Nüma rü  ai̱ xrüguma mea napuracü. Él habitualmente trabaja bien.,Nüma rü  ai̱ xrüguma mea napuracü.,Él habitualmente trabaja bien.
ai̱ x̱ rügumarüxü̃ ,(ai̱ ̱x⁵rü²gu⁴ma²rüx¹ü⁵),adv., como siempre ,ai̱ x̱ rügumarüxü̃ (ai̱ ̱x⁵rü²gu⁴ma²rüx¹ü⁵) adv. como siempre Danié rü  guxü̃maga ngunexü̃gu Tupanaxü̃ nicuax̱ üxü̃ ai̱ x̱  rügumarüü̃tama. Todos los días Daniel alababa a dios como siempre  había hecho.,Danié rü  guxü̃maga ngunexü̃gu Tupanaxü̃ nicuax̱ üxü̃ ai̱ x̱  rügumarüü̃tama. Todos los días Daniel alababa a dios como siempre  había hecho.,Danié rü  guxü̃maga ngunexü̃gu Tupanaxü̃ nicuax̱ üxü̃ ai̱ x̱  rügumarüü̃tama.,Todos los días Daniel alababa a dios como siempre  había hecho.
aixtü ,(aix³⁵tü⁴),s.n., nutria,aixtü (aix³⁵tü⁴) s.n. nutria,,,
aiyachica ,(ai³ya⁵chi¹ca⁵),s.n., lugar ,"aiyachica (ai³ya⁵chi¹ca⁵) s.n. lugar (para bañarse), ducha",,,
aiyachiru ,(ai³ya⁵chi¹ru⁵),s.n., ropa ,aiyachiru (ai³ya⁵chi¹ru⁵) s.n. ropa (de baño),,,
aiyacü ,(ai⁵ya³cü²),s.m., sudor,aiyacü (ai⁵ya³cü²) s.m. sudor,,,
alfabétu ,(al³fa³be²tu⁵),s.n., alfabeto ,"alfabétu (al³fa³be²tu⁵) s.n. alfabeto Nagawa nanaxümatü i norü  alfabétu: a, b, c, re.t. En su idioma escribe el alfabeto: a, b, c,  etc.","Nagawa nanaxümatü i norü  alfabétu: a, b, c, re.t. En su idioma escribe el alfabeto: a, b, c,  etc.","Nagawa nanaxümatü i norü  alfabétu: a, b, c, re.t.","En su idioma escribe el alfabeto: a, b, c,  etc."
-ama ,(-a²ma²),suf. verb.," continuar, seguir  ","-ama (-a²ma²) suf. verb. continuar, seguir  (a pesar de) Namaxã nüxü̃ chixu nax  tama napuracüxü̃cax natürü napuracüama. Le he dicho que no trabaje,  pero él sigue trabajando.","Namaxã nüxü̃ chixu nax  tama napuracüxü̃cax natürü napuracüama. Le he dicho que no trabaje,  pero él sigue trabajando.",Namaxã nüxü̃ chixu nax  tama napuracüxü̃cax natürü napuracüama.,"Le he dicho que no trabaje,  pero él sigue trabajando."
ãmachixü̃ ,(ã³ma⁵chix⁵ü³),adj., que tiene carne,ãmachixü̃ (ã³ma⁵chix⁵ü³) adj. que tiene carne,,,
ãmacü ,(ã³ma³cü³),s.m., cuñado ,"ãmacü (ã³ma³cü³) s.m. cuñado (hermano de la esposa) Véanse naxmaxenexẽ, naeyaxte",,,
ãmaguxü̃ ,(ã³ma³gu⁴xü²),adj., puntiagudo,ãmaguxü̃ (ã³ma³gu⁴xü²) adj. puntiagudo,,,
ãmare ,(ã³ma³re³),s.n.,"['premio ', 'regalo, obsequio ', 'dádiva, donación, ofrenda  ']","ãmare (ã³ma³re³) s.n. 1.  premio 2.  regalo, obsequio Ñaa nixĩ i curü ãmare. Éste es tu regalo. 3.  dádiva, donación, ofrenda  Véase ãmareruxü̃",,,
ãmarechica ,(ã³ma³re³chi¹ca⁵),s.n., altar  ,ãmarechica (ã³ma³re³chi¹ca⁵) s.n. altar  (para quemar ofrendas a dios) Yema ãmarechicawa nayagu ga yema carnéru  ga  Tupanana naxãxü̃. Quemó  en el altar el carnero que ofreció a dios.,Yema ãmarechicawa nayagu ga yema carnéru  ga  Tupanana naxãxü̃. Quemó  en el altar el carnero que ofreció a dios.,Yema ãmarechicawa nayagu ga yema carnéru  ga  Tupanana naxãxü̃.,Quemó  en el altar el carnero que ofreció a dios.
ãmareruxü̃ ,(ã³ma³re³rux¹ü⁵),s.n., regalo  ,ãmareruxü̃ (ã³ma³re³rux¹ü⁵) s.n. regalo  Véase ãmare,,,
